claim_id,claim,verdict,justification,score,latency,cost,source_dataset,test_mode,ground_truth,gold_verdict,baseline_verdict,baseline_justification,baseline_score,is_verdict_correct,is_justification_flawed,latency_seconds,cost_usd,provider,model
averitec_train_796,Top White House coronavirus adviser Dr. Anthony Fauci served on the Clinton Foundation’s board of directors for 20 years.,Non-Factual,"The supplied auxiliary evidence contains refuting signals, credibility warnings, or explicit statements that undermine the source claim.",9,0.0001,0.0,AVeriTeC,evidence,False,Non-Factual,Non-Factual,"The supplied auxiliary evidence contains refuting signals, credibility warnings, or explicit statements that undermine the source claim.",9,True,False,0.0001,0.0,mock,mock-fact-audit-heuristic
averitec_train_2455,Fewer than 500 people a year in the USA are killed by rifles.,Factual,The supplied auxiliary evidence contains supporting signals and factual details that align with the source claim.,9,0.0002,0.0,AVeriTeC,evidence,True,Factual,Factual,The supplied auxiliary evidence contains supporting signals and factual details that align with the source claim.,9,True,False,0.0002,0.0,mock,mock-fact-audit-heuristic
liar_13273.json,"Says Hillary Clinton was let off the hook for her email scandal while Gen. David Petraeus had his life destroyed for doing far, far less.",Not Enough Information,"The auxiliary information provides context but no decisive support or refutation, so this offline baseline abstains from a factual verdict.",2,0.0001,0.0,LIAR,claim,False,Non-Factual,Not Enough Information,"The auxiliary information provides context but no decisive support or refutation, so this offline baseline abstains from a factual verdict.",2,False,False,0.0001,0.0,mock,mock-fact-audit-heuristic
liar_13058.json,Says Donald Trumpsfoundation took money other people gave to his charity and then bought a six-foot-tall painting of himself.,Not Enough Information,"The auxiliary information provides context but no decisive support or refutation, so this offline baseline abstains from a factual verdict.",2,0.0,0.0,LIAR,claim,True,Factual,Not Enough Information,"The auxiliary information provides context but no decisive support or refutation, so this offline baseline abstains from a factual verdict.",2,False,False,0.0,0.0,mock,mock-fact-audit-heuristic
averitec_train_2470,"Joe biden said The Trump budget cuts $845 billion, almost a trillion dollar cut in Medicare.",Non-Factual,"The supplied auxiliary evidence contains refuting signals, credibility warnings, or explicit statements that undermine the source claim.",9,0.0,0.0,AVeriTeC,evidence,False,Non-Factual,Non-Factual,"The supplied auxiliary evidence contains refuting signals, credibility warnings, or explicit statements that undermine the source claim.",9,True,False,0.0,0.0,mock,mock-fact-audit-heuristic
averitec_train_2850,"In India, treatment for drug sensitive TB is provided through 4,00,000 DOT centres.",Factual,The supplied auxiliary evidence contains supporting signals and factual details that align with the source claim.,9,0.0001,0.0,AVeriTeC,evidence,True,Factual,Factual,The supplied auxiliary evidence contains supporting signals and factual details that align with the source claim.,9,True,False,0.0001,0.0,mock,mock-fact-audit-heuristic
liar_11645.json,"Technically, (Ted Cruz is) not even an American.",Not Enough Information,"The auxiliary information provides context but no decisive support or refutation, so this offline baseline abstains from a factual verdict.",2,0.0,0.0,LIAR,claim,False,Non-Factual,Not Enough Information,"The auxiliary information provides context but no decisive support or refutation, so this offline baseline abstains from a factual verdict.",2,False,False,0.0,0.0,mock,mock-fact-audit-heuristic
liar_13.json,(McCain) was opposed to ethanol. Now he's for it.,Not Enough Information,"The auxiliary information provides context but no decisive support or refutation, so this offline baseline abstains from a factual verdict.",2,0.0,0.0,LIAR,claim,True,Factual,Not Enough Information,"The auxiliary information provides context but no decisive support or refutation, so this offline baseline abstains from a factual verdict.",2,False,False,0.0,0.0,mock,mock-fact-audit-heuristic
averitec_train_1292,World Health Organisation labels Coronavirus a plague.,Non-Factual,"The supplied auxiliary evidence contains refuting signals, credibility warnings, or explicit statements that undermine the source claim.",9,0.0,0.0,AVeriTeC,evidence,False,Non-Factual,Non-Factual,"The supplied auxiliary evidence contains refuting signals, credibility warnings, or explicit statements that undermine the source claim.",9,True,False,0.0,0.0,mock,mock-fact-audit-heuristic
averitec_train_1556,Every month 17.5 million social grants are provided to South Africans.,Not Enough Information,"The auxiliary information provides context but no decisive support or refutation, so this offline baseline abstains from a factual verdict.",2,0.0002,0.0,AVeriTeC,evidence,True,Factual,Not Enough Information,"The auxiliary information provides context but no decisive support or refutation, so this offline baseline abstains from a factual verdict.",2,False,False,0.0002,0.0,mock,mock-fact-audit-heuristic
